t,S,energy,utility,avg_A,avg_centrality,composite_score,eta,lambda,gate_topk,malicious_count
89,0.9978981218679883,1369.1397115689829,-5.163230580192435,0.002139280799326536,0.1836852029154427,0.3867370405830885,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
90,0.9978845452172909,1373.1959079789333,-5.181497040687908,0.0021456186062170832,0.1835166437910545,0.3867033287582109,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
91,0.9980159497625672,1370.9905233830427,-5.171441405461125,0.0021421726927860043,0.18332425833128027,0.386664851666256,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
92,0.9980588977817418,1373.3860748585166,-5.182178439081583,0.0021459157419664323,0.18318317116351665,0.38663663423270334,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
93,0.9979548749803044,1392.6864157521306,-5.2691339959042836,0.0021760725246127042,0.18312650670345973,0.38662530134069195,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
94,0.9981034900827646,1399.0453704096674,-5.297600676760737,0.002186008391265105,0.18340227615798527,0.38668045523159705,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
95,0.9979925454344699,1397.5904585951178,-5.291164518243559,0.0021837350915548713,0.1830062951944377,0.38660125903888753,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
96,0.9980752934239654,1380.9042417403978,-5.215993794407824,0.0021576628777193714,0.18310681957058933,0.38662136391411783,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
97,0.9980752853555406,1384.5881360134003,-5.232571326704761,0.0021634189625209382,0.18309986188384528,0.38661997237676904,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
98,0.9981552447586793,1390.4408240232815,-5.258828463346086,0.0021725637875363774,0.1831867785544818,0.38663735571089636,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
99,0.9980110179959272,1404.8326353874922,-5.323735841247787,0.002195050992792957,0.18348398701783517,0.386696797403567,0.022334261282910002,0.0032204960703011492,9.54631510835624,40
100,0.9980618460362224,1112.4291730384255,-4.007869432636692,0.0017381705828725398,0.18168139764007354,0.3863362795280147,0.011167130641455001,0.007082668110001406,8.788895311029481,40
101,0.9981058636284644,1100.3114385099682,-3.953295609666392,0.0017192366226718252,0.18174366723170746,0.38634873344634146,0.011167130641455001,0.007082668110001406,8.788895311029481,40
102,0.9982156634182062,1098.4958568617442,-3.9450156924596427,0.0017163997763464754,0.18159111624469415,0.38631822324893883,0.011167130641455001,0.007082668110001406,8.788895311029481,40
103,0.9980933419617259,1092.766816330639,-3.919357331526149,0.0017074481505166233,0.18169688436538842,0.3863393768730777,0.011167130641455001,0.007082668110001406,8.788895311029481,40
104,0.9980452489548336,1095.9355064031838,-3.933664529859493,0.0017123992287549747,0.18183650335499502,0.386367300670999,0.011167130641455001,0.007082668110001406,8.788895311029481,40
105,0.9981045999823372,1091.7438657672988,-3.914742795970507,0.0017058497902614042,0.1820153291275563,0.38640306582551126,0.011167130641455001,0.007082668110001406,8.788895311029481,40
106,0.9980276949346121,1071.9848346358594,-3.825904060926755,0.0016749763041185304,0.1820103774060134,0.38640207548120264,0.011167130641455001,0.007082668110001406,8.788895311029481,40
107,0.9980434211094505,1075.3189429521326,-3.840891822175146,0.0016801858483627072,0.18169721365685335,0.38633944273137066,0.011167130641455001,0.007082668110001406,8.788895311029481,40
108,0.9980349817099425,1075.8745276002057,-3.8434003924909828,0.0016810539493753215,0.18182929069794068,0.3863658581395881,0.011167130641455001,0.007082668110001406,8.788895311029481,40
109,0.9980818991480797,1063.202074781318,-3.7863274373678513,0.0016612532418458096,0.18188815798123456,0.3863776315962469,0.011167130641455001,0.007082668110001406,8.788895311029481,40
110,0.9980784644948909,1065.682451300781,-3.797492566358623,0.0016651288301574702,0.181851828502626,0.3863703657005252,0.011167130641455001,0.007082668110001406,8.788895311029481,40
111,0.9981345272667934,1061.4094067491556,-3.778207803104406,0.0016584521980455556,0.18187550986875153,0.3863751019737503,0.011167130641455001,0.007082668110001406,8.788895311029481,40
112,0.9981416073306766,1060.0980634997102,-3.772299678418019,0.0016564032242182972,0.18193009831768397,0.38638601966353675,0.011167130641455001,0.007082668110001406,8.788895311029481,40
113,0.9982667945924858,1051.2133887280193,-3.7321934546836,0.00164252091988753,0.1820285126814602,0.38640570253629203,0.011167130641455001,0.007082668110001406,8.788895311029481,40
